"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000826",1591,1869,1168,1126,945,779,1857,3242,779,5373,5995,6425
"RVCYZ000827",516,644,403,479,376,256,703,1253,281,1951,2336,2401
"RVCYZ000828",505,626,418,424,399,266,689,1149,372,2292,2496,2659
"RVCYZ000829",1198,1211,827,889,780,505,1557,2516,1356,4368,4734,4894
"RVCYZ000830",127,149,147,118,93,56,230,345,130,562,623,689
"RVCYZ000831",104,126,123,87,66,57,138,144,303,304,251,281
"RVCYZ000832",2835,3390,2492,1608,1474,1286,3019,3803,7668,5140,5177,5231
"RVCYZ000833",2844,3263,2292,2034,1717,1294,3472,5465,1534,8654,9148,9279
"RVCYZ000834",914,1033,695,688,485,523,993,1428,1244,2664,2592,2747
"RVCYZ000835",1676,2090,1435,1066,916,715,2005,3037,2146,5075,5677,6039
"RVCYZ000836",636,756,616,494,461,304,839,1323,639,2199,2615,2489
"RVCYZ000837",1651,2276,1460,1146,998,943,1758,2393,4093,3482,3537,3981
"RVCYZ000838",3625,4481,3047,2956,2491,2477,3884,5076,3976,6861,7160,7691
"RVCYZ000839",171,238,115,144,113,76,223,467,5,730,892,909
"RVCYZ000840",622,708,458,377,392,292,763,1356,2521,2257,2659,2710
